﻿﻿﻿Test Case ID,User Query,Category,Expected Intent,Predicted Intent,Extracted Entities,Search Strategy,Expected Result (ID),Actual Result (ID),Evaluation,Intent Processing Time (ms),Backend Processing Time (ms),Total Response Time (ms),Run_Status
TC_001,Tìm cho mình vài bài nhạc chậm nhẹ nhàng,Happy Path,DISCOVER_MUSIC,DISCOVER_MUSIC,attributes=cham,Level 1: Attribute Rule Map,7AD5F85waSb3yZxZxEXhJM,Dynamic Playlist,PASS,38.57,1672.99,1714.71,DONE
TC_002,Gợi ý nhạc nhanh và sôi động,Happy Path,DISCOVER_MUSIC,DISCOVER_MUSIC,attributes=nhanh,Level 1: Attribute Rule Map,6HpkHTTwfVmSoopeloHqOp,Dynamic Playlist,PASS,28.48,1234.63,1266.07,DONE
TC_003,Bật nhạc cực kỳ dồn dập speed up,Happy Path,DISCOVER_MUSIC,DISCOVER_MUSIC,"attributes=don dap, speed up",Level 1: Attribute Rule Map,5WkuMbkHX7yR7nnBKCn7tV,Dynamic Playlist,PASS,56.44,895.24,955.4,DONE
TC_004,Tìm nhạc có năng lượng mạnh mẽ uy lực,Happy Path,DISCOVER_MUSIC,DISCOVER_MUSIC,"attributes=nang luong, manh, uy luc",Level 1: Attribute Rule Map,6vSyybihp3S6rof4kIMuak,Dynamic Playlist,PASS,62.72,1045.68,1113.49,DONE
TC_005,Nhạc buồn nhưng nhịp điệu nhanh,Happy Path,DISCOVER_MUSIC,DISCOVER_MUSIC,"attributes=nhanh, nhip dieu",Level 1: Attribute Rule Map,6GPcbZOX4h9MWert6xWpYw,Dynamic Playlist,PASS,57.44,892.31,953.52,DONE
TC_006,Gợi ý các bài hát có bpm khoảng 130,Happy Path,DISCOVER_MUSIC,DISCOVER_MUSIC,"attributes=bpm, 130; target_tempo=130.0",Level 1: Attribute Rule Map,3DLtPObflLQBodZN8qGODT,Dynamic Playlist,PASS,5.65,981.42,990.84,DONE
TC_007,Tìm nhạc lofi chậm và mỏng,Happy Path,DISCOVER_MUSIC,DISCOVER_MUSIC,"attributes=cham, manh",Level 1: Attribute Rule Map,7AD5F85waSb3yZxZxEXhJM,Dynamic Playlist,PASS,52.15,1426.47,1481.0,DONE
TC_008,Nhạc nào có beat căng và dày không?,Variation & Paraphrasing,DISCOVER_MUSIC,DISCOVER_MUSIC,"attributes=beat, cang, day",Level 1: Attribute Rule Map,6vSyybihp3S6rof4kIMuak,Dynamic Playlist,PASS,65.54,906.5,983.52,DONE
TC_009,Bat nhac slow em diu,Noise & Robustness,DISCOVER_MUSIC,DISCOVER_MUSIC,attributes=slow,Level 1: Attribute Rule Map,7AD5F85waSb3yZxZxEXhJM,Dynamic Playlist,PASS,46.53,969.37,1019.13,DONE
TC_010,Tìm nhạc có nhịp điệu nhanh để chạy bộ,Variation & Paraphrasing,DISCOVER_MUSIC,DISCOVER_MUSIC,"attributes=nhanh, nhip dieu, chay",Level 1: Attribute Rule Map,3DLtPObflLQBodZN8qGODT,Dynamic Playlist,PASS,66.92,912.14,981.61,DONE
TC_011,Gợi ý nhạc pop tempo ổn định,Happy Path,DISCOVER_MUSIC,DISCOVER_MUSIC,attributes=tempo,Level 1: Attribute Rule Map,6GM4ZOBDcDroldUxI8GZ2B,Dynamic Playlist,PASS,65.16,904.52,972.53,DONE
TC_012,Tìm bài hát nhanh 140 bpm,Variation & Paraphrasing,DISCOVER_MUSIC,DISCOVER_MUSIC,"attributes=nhanh, bpm, 140; target_tempo=140.0",Level 1: Attribute Rule Map,6Hs2xIgB8nzyGFDvVA8lFa,Dynamic Playlist,PASS,13.28,1027.63,1045.02,DONE
TC_013,Nhạc rap nhanh dồn dập,Variation & Paraphrasing,DISCOVER_MUSIC,DISCOVER_MUSIC,"attributes=nhanh, don dap",Level 1: Attribute Rule Map,5WkuMbkHX7yR7nnBKCn7tV,Dynamic Playlist,PASS,49.23,975.41,1026.53,DONE
TC_014,goi y nhac nang luong manh tap the duc,Happy Path,DISCOVER_MUSIC,DISCOVER_MUSIC,attributes=cham,Level 1: Attribute Rule Map,6vSyybihp3S6rof4kIMuak,Dynamic Playlist,PASS,108.88,1018.85,1130.33,DONE
TC_015,Tìm nhạc có năng lượng thấp để ngủ,Happy Path,DISCOVER_MUSIC,DISCOVER_MUSIC,attributes=nang luong,Level 1: Attribute Rule Map,6GM4ZOBDcDroldUxI8GZ2B,Dynamic Playlist,PASS,84.71,975.95,1063.65,DONE
TC_016,Bài hát nào có tempo ổn định và nhịp nhàng?,Variation & Paraphrasing,DISCOVER_MUSIC,DISCOVER_MUSIC,"attributes=tempo, on dinh, nhip nhang",Level 1: Attribute Rule Map,6GM4ZOBDcDroldUxI8GZ2B,Dynamic Playlist,PASS,10.82,919.38,933.66,DONE
TC_017,Bật nhạc quẩy nhanh và căng,Variation & Paraphrasing,DISCOVER_MUSIC,DISCOVER_MUSIC,"attributes=nhanh, cang",Level 1: Attribute Rule Map,6vSyybihp3S6rof4kIMuak,Dynamic Playlist,PASS,53.45,2125.3,2180.43,DONE
TC_018,Tìm nhạc nhịp nhanh,Variation & Paraphrasing,DISCOVER_MUSIC,DISCOVER_MUSIC,"attributes=nhanh, nhip nhanh",Level 1: Attribute Rule Map,3DLtPObflLQBodZN8qGODT,Dynamic Playlist,PASS,64.96,1191.99,1258.7,DONE
TC_019,Có nhạc nào năng lượng cực cao không?,Variation & Paraphrasing,DISCOVER_MUSIC,DISCOVER_MUSIC,attributes=nang luong,Level 1: Attribute Rule Map,6GM4ZOBDcDroldUxI8GZ2B,Dynamic Playlist,PASS,95.29,1054.39,1151.96,DONE
TC_020,Tìm nhạc chill slow tempo,Happy Path,DISCOVER_MUSIC,DISCOVER_MUSIC,"attributes=tempo, slow",Level 1: Attribute Rule Map,7AD5F85waSb3yZxZxEXhJM,Dynamic Playlist,PASS,28.37,1004.72,1035.88,DONE
TC_021,Bật nhạc fast beat,Happy Path,DISCOVER_MUSIC,DISCOVER_MUSIC,"attributes=fast, beat",Level 1: Attribute Rule Map,3DLtPObflLQBodZN8qGODT,Dynamic Playlist,PASS,29.85,973.12,1006.76,DONE
TC_022,Nhạc dồn dập bpm cao,Happy Path,DISCOVER_MUSIC,DISCOVER_MUSIC,"attributes=don dap, bpm",Level 1: Attribute Rule Map,,Dynamic Playlist,PASS,68.8,1009.93,1086.97,
TC_023,Gợi ý nhạc uy lực và nhanh,Variation & Paraphrasing,DISCOVER_MUSIC,DISCOVER_MUSIC,"attributes=nhanh, uy luc",Level 1: Attribute Rule Map,6vSyybihp3S6rof4kIMuak,Dynamic Playlist,PASS,80.64,1017.66,1101.06,DONE
TC_024,Có bài hát nào tempo 100 không?,Variation & Paraphrasing,DISCOVER_MUSIC,DISCOVER_MUSIC,"attributes=tempo, 100; target_tempo=100.0",Level 1: Attribute Rule Map,6GM4ZOBDcDroldUxI8GZ2B,Dynamic Playlist,PASS,10.99,1404.75,1421.29,DONE
TC_025,Bat nahc nhah va cag,Variation & Paraphrasing,DISCOVER_MUSIC,DISCOVER_MUSIC,"attributes=nhanh, cang",Level 1: Attribute Rule Map,,Dynamic Playlist,PASS,61.42,957.68,1023.24,
