file_name,sentiment,sentiment_score,sentiment_confidence,lyric_total_words,lexical_diversity,noun_count,verb_count,adj_count,lyric,track_id
Chạy Ngay Đi (Sky Tour 2019).mp3,neutral,-0.1208,0.2447,686.0,0.4359,233.0,211.0,50.0,"Sài Gòn ơi
Hà Nội ơi
Đà Nẵng ơi
Tay chân đâu hết rồi nào
Tay-tay-tay-tay-tay-tay-tay-tay
Đâu nè
Let's get it
Mọi người đã sẵn sàng
Để cháy hết buổi tối hôm nay
Của Sơn Tùng M-TP chưa nào
Nếu mà sẵn sàng rồi
Thì tay chân chúng ta
Đâu hết rồi nào
Let's get it let's get it
Let's get it
One, two, three
Từng phút cứ mãi trôi xa
Phai nhòa dần kí ức giữa đôi ta
Từng chút nỗi nhớ hôm qua
Đâu về lạc bước cứ thế phôi pha
Con tim giờ không cùng chung đôi nhịp
Nụ cười lạnh băng
Còn đâu nồng ấm thân quen
Vô tâm làm ngơ
Thờ ơ tương lai ai ngờ
Quên đi mộng mơ
Ngày thơ tan theo sương mờ
Mưa lặng thầm đường vắng chiều nay
In giọt lệ nhòe khóe mắt sầu cay
Bao hẹn thề tàn úa vụt bay
Trôi dạt chìm vào những giấc nồng say
Quay lưng chia hai lối
Còn một mình anh thôi
Giả dối bao trùm bỗng chốc lên ngôi
Trong đêm bầu bạn cùng đơn côi
One, two, three, gì nào
Son môi hồng vương trên môi bấy lâu
Hương thơm dịu êm mê man bấy lâu
Anh không chờ mong quan tâm nữa đâu
Tương lai từ giờ
Như bức tranh em quên tô màu
Xin chôn vùi tên em trong đớn đau
Nơi hiu quạnh tan hoang ngàn nỗi đau
One, two
Dư âm tàn tro vô vọng phía sau
Đua chen dày vò xâu xé
Quanh thân xác nát nhàu
Chạy ngay đi trước khi
Mọi điều dần tồi tệ hơn
Chạy ngay đi trước khi
Lòng hận thù cuộn từng cơn
Tựa giông tố đến bên ghé thăm
Từ nơi hố sâu tối tăm
Chạy đi hey
Trước khi hey
Mọi điều dần tồi tệ hơn ey
Không còn ai cạnh bên em ngày mai
Tạm biệt một tương lai ngang trái ah
Không còn ai cạnh bên em ngày mai
Tạm biệt một tương lai ngang trái
Không còn ai cạnh bên em ngày mai
Tạm biệt một tương lai ngang trái
Không còn ai cạnh bên em ngày mai
Tạm biệt một tương lai ngang trái
Buông bàn tay
Buông xuôi hi vọng
Buông bình yên thôi nào buông
Đâu còn nguyên tháng ngày rực rỡ
Phai úa hằn sâu triền miên
Vết thương cứ thêm, khắc thêm, mãi thêm
Chà đạp vùi dập
Dẫm lên tiếng yêu ấm êm
Nhìn lại niềm tin từng trao giờ sao
Sau bao ngu muội sai lầm
Anh vẫn yếu mềm let's go
Căn phòng giam cầm
Thiêu linh hồn cô độc
Em trơ trọi kêu gào xót xa
Căm hận tuôn trào dâng lên
Nhuộm đen ghì đôi vai
Đừng mong chờ thứ tha
Gì nào chính em gây ra mà
Những điều vừa diễn ra
Chính em gây ra mà
Chính em gây ra mà
Những điều vừa diễn ra
Tay đâu tay đâu
Tay đâu tay đâu eh
Son môi hồng vương trên môi bấy lâu
Hương thơm dịu êm mê man bấy lâu
Anh không chờ mong quan tâm nữa đâu
Tương lai từ giờ
Như bức tranh em quên tô màu
Xin chôn vùi tên em trong đớn đau
Nơi hiu quạnh tan hoang ngàn nỗi đau
Tay, tay
One, two, three, go
Chạy ngay đi trước khi
Mọi điều dần tồi tệ hơn
Chạy ngay đi trước khi
Lòng hận thù cuộn từng cơn
Tựa giông tố đến bên ghé thăm
Từ nơi hố sâu tối tăm
Chạy đi trước khi
Mọi điều dần tồi tệ hơn
Gì nào
Không còn ai cạnh bên em ngày mai
Tạm biệt một tương lai ngang trái
Không còn ai cạnh bên em ngày mai
Tạm biệt một tương lai ngang trái ah
Không còn ai cạnh bên em ngày mai
Tạm biệt một tương lai ngang trái
Không còn ai cạnh bên em ngày mai
Tạm biệt một tương lai ngang trái
Đốt sạch hết
Chính em gây ra mà
Chính em gây ra mà
Đốt sạch hết
Phải không Sky ơi
Đừng nhìn anh với khuôn mặt xa lạ
Xin đừng lang thang
Trong tâm trí anh từng đêm nữa
Quên đi, quên đi hết đi
Quên đi, quên đi hết đi
Thắp lên điều đáng thương lạnh giá
Ôm trọn giấc mơ vụn vỡ
Tay chân đâu tay chân đâu
Tay chân đâu
Tay chân đâu tay chân đâu
Tay chân đâu
Tay chân đâu tay chân đâu
Tay chân đâu
That's what I wanna know
Mọi người đã sẵn sàng
Để bay lên tít
Trên trời cao chưa nào
Ai sẵn sàng
Thì giữ nguyên cánh tay nhá
Nếu mà sẵn sàng
Thì tay chân đâu hết rồi nào
One two one two one two
One, two, three, let's get it
Sơn Tùng, I'm right here
Tay chân, tay chân đâu này
Tay chân, tay chân đâu này
Tay chân, tay chân đâu này
Remember my face, bro
Don't forget me
I'm Sơn Tùng M-TP",5VEbCBsWrWI2I5OQhDrNJF
Người Âm Phủ.mp3,positive,0.4516,0.1818,299.0,0.5485,93.0,88.0,12.0,"Ba giờ anh còn chưa ngủ
Tương tư về em biết bao nhiêu là cho đủ
Chẳng phải người âm phủ ngày ngủ đêm bay
Nhưng mà giờ lúc nào anh cũng như thằng đang trên mây
Tóc em là suối
Mắt em là hồ
Nụ cười em là nắng để cho lòng này ngẩn ngơ
Chẳng phải là xuân diệu anh cũng biết làm thơ
Vì đơn giản là giờ trong đầu anh toàn thương với nhớ
đi cùng với em trên một đoạn đường dài
chỉ mong được một lần nắm tay dù là đi đến sáng mai
chuyện anh nói đâu phải ngày một ngày hai
nếu như em gật đầu mình bên nhau đến mãi mãi 
cuộc đời anh đã từng là bản nhạc buồn 
chỉ đợi em remix là anh sẽ lên luôn
từ ngày gặp em anh lại thấy bay bổng
chẳng còn thấy chật chội chẳng còn dập khuôn
lại đây anh nói nhỏ 
em làm cái gì cũng để anh phải nói ỏ
mặt thì ngáo ngáo, điệu cười thì ngơ ngơ
suốt ngày nói linh tinh vớ vẩn
cũng để anh đêm về nhà ôm mơ
chuyện trò với em cả đêm đến sáng 
chẳng cần một giọt cà phê
không cần không cỏ không men không rượu 
nhưng em vẫn làm anh mê
em có yêu bản thân mình ko?
Nếu có thì làm tình địch với anh nhá
Nhà có bán rượu ko ?
Mà nói chuyện với em anh say quá
Dừng lại nhanh
Cười thêm cái nữa là tim anh đứt phanh
Nhà em có sao em ko ở
Mà lại đi chuyển hộ khẩu vào tim anh?
Em có thấy cuộc đời mình nhàm chán
Khi cứ hoài lặp đi lặp lại
Vậy thì đến đây với anh đi 
Chứ sao còn cứ hoài tìm ai
Vòng tay anh không quá lớn, 
Chân cũng chẳng được quá dài
Nhưng mà để ôm em 
Hay chạy đến với em thì 
Việc gì với anh cũng không ngại
",0aEUEtNf9u85BTvBI9Hsoq
Nơi Tình Yêu Bắt Đầu.mp3,positive,0.7557,0.206,288.0,0.2951,107.0,78.0,12.0,"Ta quen nhau đã bao lâu rồi
Hỡi đêm đêm có hay,
Mà giọt buồn hoài
Vương trên môi mặn đắng.
Ta quen nhau đã bao lâu rồi
Hỡi đêm sao vẫn mãi đêm dài
Để mình ta
Với con tim khô cằn giá băng.
Đêm hôm qua bỗng nhiên anh nhìn thấy
...em trong giấc mơ
Mình ngồi cạnh thật lâu
Bên nhau lặng lẽ.
Đêm nay mơ bỗng nhiên
Anh lại nhớ em trong cơn gió đông về.
Phải chăng khi biết yêu
Giấc mơ là nơi bắt đầu.
Này mùa đông ơi xin hãy
Làm tuyết rơi
Để chắn lối em anh về.
Này mùa đông ơi xin hãy
Làm tuyết rơi
Để anh biết em cần anh.
Và thời gian ơi xin hãy
Ngừng chốn đây
Để những dấu yêu đong đầy.
Một vòng tay anh khao khát 1 giấc mơ,
Anh đã yêu em người ơi.
Đêm hôm qua bỗng nhiên anh nhìn thấy
...em trong giấc mơ
Mình ngồi cạnh thật lâu
Bên nhau lặng lẽ.
Đêm nay mơ bỗng nhiên
Anh lại nhớ em trong cơn gió đông về.
Phải chăng khi biết yêu
Giấc mơ là nơi bắt đầu.
Này mùa đông ơi xin hãy
Làm tuyết rơi
Để chắn lối em anh về.
Này mùa đông ơi xin hãy
Làm tuyết rơi
Để anh biết em cần anh.
Và thời gian ơi xin hãy
Ngừng chốn đây
Để những dấu yêu đong đầy.
Một vòng tay anh khao khát 1 giấc mơ,
Anh đã yêu em người ơi.
Này mùa đông ơi xin hãy
Làm tuyết rơi
Để chắn lối em anh về.
Này mùa đông ơi xin hãy
Làm tuyết rơi
Để anh biết em cần anh.
Và thời gian ơi xin hãy
Ngừng chốn đây
Để những dấu yêu đong đầy.
Một vòng tay anh khao khát 1 giấc mơ,
Anh đã yêu em
...người ơi.",5y3m3UvJRHDPCqO2SBq98f
Răng Khôn (feat. RIN9).mp3,neutral,0.102,0.262,154.0,0.6948,48.0,43.0,8.0,"Nói với em có sai chăng
Phải đau đớn mới mong trưởng thành
Mới biết tiếc thương những gì đã mất.

Sánh bước đi mãi bên nhau
Rồi lạc mất ở ga chuyển tàu
Tình đầu như chiếc răng khôn làm mình đau.

Rồi thời gian cứ trôi
Em ngỡ tim mình đã thảnh thơi
Sau những lần đầm đìa gối ướt mi vương khoé môi.

Rồi khi ai nhắc tên
Em đã dặn lòng không nghĩ đến
Đến anh - người em không thể nào quên.

Nếu như em gặp anh
Lúc hai ta đã trưởng thành
Biết yêu thương mỏng manh
Và biết trân trọng người ở cạnh

Có khi em và anh
Đã không vì những lỗi lầm nhỏ nhặt
Mà hờn giận rồi lại mất nhau thêm một lần.

Mùa hè năm ấy cứ ngỡ cầm chắc đôi tay sẽ bên nhau đến trọn đời
Rồi bao mùa trôi bàn tay ấy xa tầm với.
Bầu trời năm ấy còn xanh nhưng đáng tiếc em đã không còn thuộc về anh
Em là một nỗi buồn đẹp nhất anh cất để dành.",2c0QMztYu6PCfFrGLqHXIV
Chong Đèn Canh Thâu.mp3,neutral,-0.0602,0.2128,156.0,0.7949,51.0,41.0,13.0,"Sau bao nhiêu đổ vỡ anh vẫn chong đèn canh thâu
Rọi thấu kỉ niệm đáng ra đã phải quên từ nhiều năm qua.
Chẳng thể nào ngừng lại cô đơn từ ngày tháng cũ
Rằng cứ luyến tiếc quá khứ ấy đã vỡ nát
Sao anh bằng lòng yêu ai?

Người đời thường bảo tình mau phai
Có đúng không khi ta chia hai?
Ai bao dung lỗi lầm cho ai?
Chắc tự anh vẩn vơ rồi…
Một đời này đau thương…
Một đời người nhẫn tâm…
Mượn cơn mưa tạm thời che đi dòng nước mắt rơi… 

Chẳng ai mong mưa vội vàng ngang qua 
Lặng thầm dần dần bôi xóa dấu yêu, em à!
Là dòng đời buông trôi nên anh vẫn luôn mơ em của ngày hôm qua.
Sao đêm nay chơ vơ chỉ mình anh thôi?
Lập lờ từng ngọn đèn nhạt nhòa sương rơi
Mình anh đơn côi em ơi!

Em hãy bước trên đường tình yêu…
Người ta cho em rất nhiều.
Và đừng chờ tin anh 
Vì người bên em tốt hơn anh, có lẽ vậy.
Mai đây, chuyện chúng ta, xóa ra khỏi kí ức…
",20BPNO5wYqbcDw7k2ODxHb
"3107 4 (feat. Erik, Nâu).mp3",neutral,0.1724,0.1768,364.0,0.4725,110.0,114.0,11.0,"Bầu trời xanh ngát
Mình anh đứng giữa cơn mơ
Dưới những màn đêm
Chỉ có riêng anh mãi chờ
Ngày em bước đến
Làm con tim anh ấm lên
Chỉ mong đôi ta
Chẳng phải cách xa
Cứ như vậy mỗi ngày
Cứ hoài trôi đi
Chính em là những người
Khiến anh đổi thay
Chẳng có gì nuối tiếc
Khi em ở bên cạnh anh
Đến bây giờ kỷ niệm
Chỉ toàn hư vô
Cầm bàn tay khi xưa
Đã xa nơi đây
Năm ấy đôi ta
Đã có nhau mà
Anh đang không biết điều gì
Khiến mình buồn
Và rồi cuốn vào vòng xoay
Khi cô ta tắt màn hình
Chờ mỗi lần hẹn hò
Chẳng còn cầm tay
Anh đâu còn thời giờ
Thay vì đợi chờ
Hay là nhắc về người ấy
Em đâu còn tin vào anh vào em
Vào tất cả những gì mình thấy
Pick up your phone
Em có nghe được giọng anh nói
Giọng anh nói qua điện thoại
Anh vẫn đang có vài câu hỏi
Anh không dám nói qua điện thoại
Tình ca buồn và cà phê gói
Không chánh án không kiện tội
Nếu em bận thì đừng nghe máy
Anh cũng rất vui
Okay anh rất hài lòng
Khi được gặp em
Anh bận bôn ba
Vì sợ giông tố ngày mai
Sẽ còn ập đến
Anh không quan tâm
Chỉ nói đến chuyện sau này
Xin gặp nhau
Nhưng cứ rứa nước
Thì biết bao giờ con thuyền của mình
Nó mới cập bến
Anh vẫn đang sống như em
Không phải tồn tại
Cho đến khi em
Mập mờ quay đi quay đi
Những ngày còn lại
Anh không biết đã làm những gì
Khiến em nghi ngờ
Nhưng mà không tin cứ nhìn xem
Mỗi lần thành phố của mình tắt đèn
Anh lại vội đi tìm em
Cứ như vậy mỗi ngày
Cứ hoài trôi đi
Chính em là những người
Khiến anh đổi thay
Chẳng có gì nuối tiếc
Khi em ở bên cạnh anh
Đến bây giờ kỷ niệm
Chỉ toàn hư vô
Cầm bàn tay khi xưa
Đã xa nơi đây
Năm ấy đôi ta
Đã có nhau mà
Chỉ là nỗi nhớ
Mà anh cất giữ bao lâu
Những giấc ngủ say
Người ấy theo ai mất rồi
Ngày em bước đến
Làm con tim anh ấm lên
Chỉ mong đôi ta chẳng phải cách xa",45PPoUgqs3JrhkZGEzSUHT
Qua Khung Cửa Sổ.mp3,neutral,-0.0303,0.2143,262.0,0.416,76.0,83.0,7.0,"[Ver 1:]
Không ai đúng không ai sai
Không tiếng khóc trên mi ai
Không những thứ tha, van nài
Sao còn chưa thức dậy
Ta cứ đếm sao trên đầu
Tên em trước, ta đi sau
Vẫn cứ nối đuôi theo nhau
Như đoàn tàu lăn bánh
Đưa hồn ai theo gió
Đi xa khắp muôn nơi
Đi đến cuối chân trời

[Chorus:]
Chờ đợi điều gì trong nỗi nhớ
Muốn em quay về đây
Giấc mơ thôi đừng bay
Vuốt ve nhiều đêm trái tim này
Mà nào em có hay
Bánh xe tên thời gian
Cứ xoay và vỡ tan
Những nốt nhạc yêu dấu qua khung cửa sổ
Đi trốn thế gian

[Ver 2:]
Không sao đâu, anh đây rồi
Gió vẫn hát nơi ta ngồi
Bao yêu dấu vẫn trên môi
Như còn đang vương vấn
Bao lần yêu đã mất
Sao ta mãi ngu ngơ
Đêm qua vẫn mong chờ

[Chorus:]
Chờ đợi điều gì trong nỗi nhớ
Muốn em quay về đây
Giấc mơ thôi đừng bay
Vuốt ve nhiều đêm trái tim này
Mà nào em có hay
Bánh xe tên thời gian
Cứ xoay và vỡ tan
Những nốt nhạc yêu dấu qua khung cửa sổ
Đi trốn thế gian

[Chorus:]
Chờ đợi điều gì trong nỗi nhớ
Muốn em quay về đây
Giấc mơ thôi đừng bay
Vuốt ve nhiều đêm trái tim này
Mà nào em có hay
Bánh xe tên thời gian
Cứ xoay và vỡ tan
Những nốt nhạc yêu dấu đã mất
Giấu theo sau nhưng giấc mơ
Muốn em quay về đây
Giấc mơ thôi đừng bay
Vuốt ve nhiều đêm trái tim này
Mà nào em có hay
Bánh xe tên thời gian
Cứ xoay và vỡ tan
Những nốt nhạc yêu dấu qua khung cửa sổ
Đi trốn thế gian",5tuggdTrO21Wi9ydcyUXlX
Độ Tộc 2.mp3,positive,0.2816,0.2294,390.0,0.5821,117.0,100.0,24.0,"PHÚC DU:
Ánh đèn sáng ở trên trên màn hình
2 giờ đêm vẫn còn lung linh
Quen trời khuya như là bạn mình
Nghe tiếng nhạc còn đập rung rinh
Ngay bên loa, đêm nay thêm say thêm ca
Chỉ cần anh em ngay bên ta
Anh vẫn cày cuốc, hăng say như ngày trước
Dù không biết sau này họ sẽ nhớ đến hay quên ta
Nhớ khi xưa những ngày đói
Khi mà động lực duy nhất là những lời cười khen
Giờ còn hơn ông thầy bói
Vì mỗi ngày ta đều có hàng vạn nghìn người xem
Bốn bề đều là những người anh và người em
Gặp nhau mỗi đêm ở trong kênh chat nhỏ
Chấm đỏ tắt vào lúc mặt trời lên
Nhưng đam mê không ngủ quên ở trong căn gác nhỏ

PHÁO:
Ngày, từ ngày qua đêm
Từ đêm qua tối
Cứ trôi qua ngày
Ngồi một mình nơi đây
Giờ, ngàn vạn anh em
Dù ở phương xa
Cũng như một nhà
FROM MIXI WITH LOVE 

Và ta thức trắng đã biết bao đêm
Lời động viên đó thì làm sao quên
Đời nhiều mặn đắng mình gạt sang bên
Vươn qua góc tối, mặt trời đang lên
Có những lời khinh, có cả lời bình
Có những lời yêu thế là lời nhiều
Ta không cần khoe, không cần nhiều lời
Thôi không cần care ta cứ chiều đời

ĐỘ MIXI:
Làm cái nghề này 10 ngày
Dài cứ như là 10 năm
Tôi sinh ra là người Tày
Nhưng họ nói tôi là người Chăm
Chăm Vợ, Chăm Con, Chăm Làm
Trăm phần trăm mỗi khi nâng chén
Chăm onl cho vài trăm ngàn
Anh em lâu lâu lại nghe tôi chém
Không ồn ào và cũng không ầm ĩ
Dân Đông Lào nhưng mà sống giờ Mỹ
Miễn là được chơi cùng huynh đệ
Thì thôi nó cứ phải gọi là hợp lý
MIXIGAMING on the mic
Điều tôi muốn nói không có gì đâu
Chỉ có tình yêu dành cho Độ tộc
Và khóa hết mồm mấy thằng trẻ trâu, OK!

PHÁO:
Ngày, từ ngày qua đêm
Từ đêm qua tối
Cứ trôi qua ngày
Ngồi một mình nơi đây
Giờ, ngàn vạn anh em
Dù ở phương xa
Cũng như một nhà
FROM MIXI WITH LOVE

ĐỘ MIXI:
Bao năm cày cuốc đã nhiều
Lương 7 - 8 triệu vẫn ngồi livestream
Bắn nhau, đá bóng, xem phim
Hú lên một tiếng cả team chơi cùng
Đêm đêm anh lại tiệc tùng
Âm thanh ánh sáng đã bùng lên chưa?
Độ này vẫn giống Độ xưa
Vẫn đợi donate vì chưa có tiền",6B4AdZzwagId7wvWeJEkiq
Sau Lưng Anh Có Ai Kìa.mp3,neutral,0.0599,0.274,360.0,0.3667,91.0,99.0,34.0,"Mười lần buồn bằng một lần đau
Một trăm lần đau mới sốc một lần
Tua lại một bài nhạc buồn ngày xưa hai ta thường nghe
Chợt bất giác lại ôm mặt khóc
Bản nhạc trở thành kỉ niệm duy nhất về nhau
Còn đâu của người khác không phải em
Một người trước kia anh từng yêu
Yêu cô ta còn nhiều hơn cả em
Phía sau lưng anh kìa đúng người ấy đấy phải không
Thật sốc khi anh quay lại ôm chặt cô ấy trong lòng
Em không đứng vững nữa rồi nhìn cả hai vẫn xứng đôi
Làm lộ hàng nước mắt rơi
Lúc đang yên đang lành bỗng trượt ngã đúng vào anh
Cảm xúc em luôn chân thành nay lại nhận cú tát rất đau
Vết thương tuy không dễ lành
Dẫu đau nhưng em sẽ quên được anh
Vậy sự tồn tại của em có nghĩa gì không
Có khi là người thế chỗ mà thôi
Thừa nhận cũng là quá trễ rồi
Lẽ ra em nên nhận thấy sớm hơn
Phía sau lưng anh kìa đúng người ấy đấy phải không
Thật sốc khi anh quay lại ôm chặt cô ấy trong lòng
Em không đứng vững nữa rồi nhìn cả hai vẫn xứng đôi
Làm lộ hàng nước mắt rơi
Lúc đang yên đang lành bỗng trượt ngã đúng vào anh
Cảm xúc em luôn chân thành nay lại nhận cú tát rất đau
Vết thương tuy không dễ lành
Dẫu đau nhưng em sẽ quên được anh
Một trăm bước khoảng cách hai ta
Nay chỉ còn một bước thôi mà
Anh dừng lại bất giác quay đầu nhìn ra phía sau
Chẳng công bằng với em đâu anh
Chỉ vì yêu anh nên là
Thôi bỏ đi thôi bỏ đi thôi bỏ hết đi
Kìa đúng người ấy đấy phải không
Thật sốc khi anh quay lại ôm chặt cô ấy trong lòng
Em không đứng vững nữa rồi nhìn cả hai vẫn xứng đôi
Làm lộ hàng nước mắt rơi
Lúc đang yên đang lành bỗng trượt vấp ngã vào anh
Cảm xúc em luôn chân thành nay lại nhận cú tát rất đau
Vết thương tuy không dễ lành
Dẫu đau nhưng em sẽ quên được anh
Mất nhau thì đã mất rồi
Dẫu đau nhưng em sẽ quên được thôi",3AWGEluq3VIBh4k4aIJN1p
Hoa Nở Không Màu.mp3,neutral,0.0755,0.3046,268.0,0.4067,60.0,86.0,20.0,"Chỉ là nỗi nhớ
Mãi đứng sau cuộc tình đã lỡ
Chỉ là cơn mơ
Cuốn theo cả một trời thương nhớ
Chỉ là nỗi đau thổn thức
Chỉ là nhói thêm một chút
Chỉ là nước mắt cứ rưng rưng
Tìm về kí ức
Cố xoá đi đoạn tình ban sơ
Rồi lại chơ vơ
Đứng giữa nơi đại lộ tan vỡ
Mãi chìm đắm trong lầm lỡ
Trái tim vẫn không ngừng nhớ
Đợi chờ em đến hoá ngu ngơ
Tình yêu đã phai mờ
Như hoa nở không màu
Càng níu kéo
Nhưng lại càng xa cách nhau
Đành ôm nỗi đau này
Chết lặng giữa trời mây
Hằn lại sâu
Trong trái tim hao gầy
Giờ đây chúng ta
Là hai người dưng khác lạ
Buồn biết mấy
Nhưng lại chẳng thể nói ra
Cuộc đời lắm vô thường
Sao cứ mãi vấn vương
Tự mình ôm lấy
Tổn thương riêng mình
Tìm về kí ức
Cố xoá đi đoạn tình ban sơ
Rồi lại chơ vơ
Đứng giữa nơi đại lộ tan vỡ
Mãi chìm đắm trong lầm lỡ
Trái tim vẫn không ngừng nhớ
Đợi chờ em đến hoá ngu ngơ
Tình yêu đã phai mờ
Như hoa nở không màu
Càng níu kéo
Nhưng lại càng xa cách nhau
Đành ôm nỗi đau này
Chết lặng giữa trời mây
Hằn lại sâu
Trong trái tim hao gầy
Giờ đây chúng ta
Là hai người dưng khác lạ
Buồn biết mấy
Nhưng lại chẳng thể nói ra
Cuộc đời lắm vô thường
Sao cứ mãi vấn vương
Tự mình ôm lấy
Tổn thương riêng mình
Chỉ là anh cố chấp
Luôn âm thầm
Bước về phía nắng ấm tìm em
Thế mà cơn mưa đêm
Xoá hết kỷ niệm
Chỉ còn lại xác xơ nỗi nhớ
Giờ đây chúng ta
Là hai người dưng khác lạ
Buồn biết mấy
Nhưng lại chẳng thể nói ra
Cuộc đời lắm vô thường
Sao cứ mãi vấn vương
Tự mình ôm lấy
Tổn thương riêng mình
Tự mình ôm lấy
Tổn thương riêng mình",5rVRjE3K44dbMAVtjvLdQh
