Test Case ID,User Query,Category,Expected Intent,Predicted Intent,Extracted Entities,Search Strategy,Expected Result (ID),Actual Result (ID),Evaluation,Intent Processing Time (ms),Backend Processing Time (ms),Total Response Time (ms),Run_Status
TC27,Có bài nào của Trịnh Thăng Bình mà buồn không?,Variation & Paraphrasing,DISCOVER_MUSIC,DISCOVER_MUSIC,mood=buồn; artist=Trịnh Thăng Bình,Level 1: Unified Discover Engine,1Szl9lPaJ750Hn2hRX9QI0,1Szl9lPaJ750Hn2hRX9QI0,PASS,45.84,1811.26,1859.45,DONE
TC28,Những bài Pop của Miu Lê vibe bình yên đi.,Variation & Paraphrasing,DISCOVER_MUSIC,DISCOVER_MUSIC,mood=bình yên; genre=pop; artist=Miu Lê,Level 1: Unified Discover Engine,7GPlwRnUdLIH2dqe5xpnyZ,7GPlwRnUdLIH2dqe5xpnyZ,PASS,69.63,1839.46,1913.34,DONE
TC29,tim nhac rap cua tlinh vibe binh yen,Noise & Robustness,DISCOVER_MUSIC,DISCOVER_MUSIC,artist=tlinh; mood=bình yên; genre=rap,Level 1: Unified Discover Engine,5ouxRyInSdRBQubu3KTd97,5ouxRyInSdRBQubu3KTd97,PASS,76.44,2166.47,2246.67,DONE
TC30,Cho mình nghe nhạc của Tùng Dương thể loại Indie yêu đời,Variation & Paraphrasing,DISCOVER_MUSIC,DISCOVER_MUSIC,mood=tươi mới; genre=indie; artist=Tùng Dương,Level 1: Unified Discover Engine,6ow5JZLwTeMlky1r0C1GcZ,6ow5JZLwTeMlky1r0C1GcZ,PASS,40.14,863.47,905.34,DONE
TC31,Nhạc của BIG WIND về chủ đề tình yêu lãng mạn,Happy Path,DISCOVER_MUSIC,DISCOVER_MUSIC,mood=tình yêu; artist=BIG WIND,Level 1: Unified Discover Engine,3mP6obvDBm2OEAMuGK7EQ8,3mP6obvDBm2OEAMuGK7EQ8,PASS,44.32,1874.93,1921.03,DONE
TC32,rcm bài bùn của MiiNa dòng Balad,Noise & Robustness,DISCOVER_MUSIC,DISCOVER_MUSIC,genre=ballad; artist=MiiNa,Level 1: Unified Discover Engine,0iqM1sFRGxdmU59D0ZFSiV,0iqM1sFRGxdmU59D0ZFSiV,PASS,50.28,752.24,804.44,DONE
TC33,Có bài nào của Văn Mai Hương sôi động không?,Variation & Paraphrasing,DISCOVER_MUSIC,DISCOVER_MUSIC,mood=bùng nổ; artist=Văn Mai Hương,Level 1: Unified Discover Engine,3e83hKQLYG116od0SJUhPd,3e83hKQLYG116od0SJUhPd,PASS,79.07,1867.97,1949.84,DONE
TC35,Nhạc Pop buồn của Vicky Nhung,Happy Path,DISCOVER_MUSIC,DISCOVER_MUSIC,mood=buồn; genre=pop; artist=Vicky Nhung,Level 1: Unified Discover Engine,1gZi8QJepq23St5aCe9ws1,1gZi8QJepq23St5aCe9ws1,PASS,85.99,2086.46,2175.08,DONE
TC36,Tìm nhạc Indie Pop chill chill của SIVAN,Happy Path,DISCOVER_MUSIC,DISCOVER_MUSIC,"artist=SIVAN; mood=bình yên; genre=indie, pop",Level 1: Unified Discover Engine,1rVTKF2XF1l3OqHoXNa4kc,1rVTKF2XF1l3OqHoXNa4kc,PASS,50.76,579.42,631.98,DONE
TC37,Bài nào của tlinh có vibe chữa lành không?,Variation & Paraphrasing,DISCOVER_MUSIC,DISCOVER_MUSIC,mood=bình yên; artist=tlinh,Level 1: Unified Discover Engine,5ouxRyInSdRBQubu3KTd97,5ouxRyInSdRBQubu3KTd97,PASS,39.51,2401.87,2443.4,DONE
TC39,Có bản Pop nào thất tình của Châu Khải Phong không?,Variation & Paraphrasing,DISCOVER_MUSIC,DISCOVER_MUSIC,mood=buồn; genre=pop; artist=Châu Khải Phong,Level 1: Unified Discover Engine,5gumifavkLqYWlgjJbK2Kt,5gumifavkLqYWlgjJbK2Kt,PASS,38.12,1844.09,1884.04,DONE
TC40,Nhạc của Mỹ Mỹ có vibe tươi mới yêu đời,Happy Path,DISCOVER_MUSIC,DISCOVER_MUSIC,mood=tươi mới; artist=Mỹ Mỹ,Level 1: Unified Discover Engine,62pWbrOi8zvStsmbCr1TIx,62pWbrOi8zvStsmbCr1TIx,PASS,54.43,2104.1,2160.32,DONE
TC41,Tìm bài hát của Coldzy thể loại Rap buồn,Happy Path,DISCOVER_MUSIC,DISCOVER_MUSIC,artist=Coldzy; mood=buồn; genre=rap,Level 1: Unified Discover Engine,6sIWcLjuMvOcxAfMOx1kbB,6sIWcLjuMvOcxAfMOx1kbB,PASS,58.11,971.35,1031.18,DONE
